# Time-averaged data for fix 1com
# TimeStep Number-of-rows
# Row c_com[1] c_com[2] c_com[3]
0 10
2 19.3751 47.5629 47.2554
3 43.9855 45.278 74.2572
4 75.0711 69.1476 40.7918
5 41.5461 19.7943 19.5912
6 61.6109 36.09 36.1339
7 25.4859 48.5109 84.8441
8 34.6234 65.39 10.3355
9 33.28 70.7873 70.0274
10 15.7267 55.1906 68.9094
60 10
1 5.87755 29.2126 45.5687
2 19.6815 48.3089 46.7921
3 44.2875 46.2281 74.19
4 74.2302 68.8666 40.3098
5 41.1758 20.1035 19.1841
6 60.4624 34.3602 36.4261
7 25.6089 47.4196 84.5877
8 35.4744 64.9018 11.8412
9 34.6569 71.3319 69.651
10 17.0911 56.2211 68.7949
64 10
1 6.57686 29.1645 45.5716
2 19.418 48.6746 47.0359
3 43.9991 46.019 74.8204
4 75.0155 69.8795 41.3241
5 40.6794 19.676 18.9361
6 60.4206 33.1679 36.9087
7 26.091 48.6044 83.5715
8 34.8178 64.1703 12.8405
9 34.8631 71.7645 69.8875
10 17.5794 55.8454 69.171
68 10
1 7.19444 29.8408 45.3296
2 20.3973 48.9 48.0071
3 42.874 46.0406 75.9929
4 74.534 69.7523 41.5502
5 41.2432 18.2063 18.3106
6 60.4938 33.3776 37.1049
7 25.8228 48.2869 85.2227
8 35.0722 64.4497 12.8033
9 34.9788 70.9126 71.2012
10 16.9631 56.6572 69.6498
72 10
1 8.48537 29.4681 45.1687
2 20.2637 49.1212 48.3302
3 44.7016 47.2961 76.0235
4 74.6313 69.0743 41.7841
5 41.456 17.822 17.9082
6 60.7597 32.0203 37.442
7 25.7483 48.8124 86.4798
8 34.9868 64.6515 13.2025
9 35.3133 70.437 70.3569
10 17.0113 55.9482 70.0732
76 10
1 7.91195 29.7122 46.0835
2 20.0471 49.1939 47.9461
3 44.192 47.7808 75.9113
4 74.2759 68.5195 40.7621
5 42.3855 18.0534 17.8917
6 59.9484 31.7482 37.9089
7 26.3385 48.011 86.3786
8 35.4929 64.1128 13.7122
9 34.8267 69.8856 70.9292
10 17.2385 56.1767 70.0797
80 10
1 7.55313 29.4579 46.75
2 21.5825 48.5262 47.7261
3 44.0603 48.0871 77.0828
4 73.5042 67.9669 40.9486
5 42.3664 18.6491 17.8335
6 59.3505 31.086 38.7781
7 27.169 46.4388 85.4226
8 36.3359 64.0832 13.5478
9 34.4692 70.2995 71.5109
10 16.2131 56.1159 70.2914
84 10
1 6.44491 29.4306 46.8361
2 22.4114 49.4128 48.2564
3 44.5127 48.2798 77.5654
4 73.2156 67.6301 41.7877
5 42.4877 17.4299 18.5377
6 59.9901 30.5183 38.2047
7 27.3489 46.2623 87.5581
8 36.5489 64.4798 13.5309
9 34.2343 69.9652 70.2488
10 16.2758 56.2687 71.3579
88 10
1 6.11676 29.7842 47.1963
2 22.764 50.1446 49.7036
3 44.6929 49.9455 78.5957
4 72.9437 67.6568 41.5412
5 42.3836 18.1379 17.7265
6 59.5525 31.3124 37.0894
7 28.5658 46.9751 87.8367
8 35.3443 63.1611 13.307
9 32.8395 69.7819 70.0811
10 15.1692 57.2121 71.5112
92 10
1 6.67304 28.9432 48.8171
2 22.0293 49.0862 50.3846
3 44.8519 50.3275 79.1145
4 73.9753 68.6038 40.9232
5 42.3477 17.3491 17.8242
6 59.3435 30.8494 35.202
7 29.1892 47.2261 88.8453
8 35.2542 63.3194 14.5264
9 33.4237 69.5454 70.2058
10 14.4379 58.1829 71.2206
96 10
1 7.03846 28.3811 48.9067
2 20.6998 49.7448 49.4861
3 45.77 51.1204 77.8774
4 74.773 68.1194 40.7295
5 41.3225 17.4756 17.1194
6 60.4286 30.7821 33.861
7 30.1587 47.1268 89.3907
8 36.1159 63.0779 14.4687
9 32.8329 69.3539 69.9572
10 14.2157 58.4714 70.8595
100 10
1 6.61758 29.3773 50.0334
2 20.6287 50.0017 48.0945
3 45.5132 51.7016 77.8136
4 75.4672 68.536 40.2245
5 42.9674 16.7365 17.4944
6 61.0886 31.0239 33.6735
7 30.42 47.5897 90.1587
8 37.1819 63.1291 15.6157
9 32.2415 69.3874 70.3757
10 14.3543 58.1577 71.0936
104 10
1 6.90837 28.0908 50.2836
2 20.4337 50.9021 48.5393
3 45.4054 51.216 76.8201
4 74.2891 67.3632 39.6836
5 42.5573 16.6474 17.4197
6 60.5978 29.4745 32.8338
7 31.9669 46.9166 90.3376
8 36.8156 63.573 16.3416
9 31.9566 70.3153 70.2514
10 14.8442 57.5408 71.927
108 10
1 6.75464 26.5933 50.2859
2 20.519 51.5187 48.4199
3 46.5037 52.0549 76.0171
4 73.6831 66.6573 39.2711
5 42.7535 15.9626 17.4695
6 60.6961 28.4999 32.1572
7 32.9988 47.3392 91.617
8 37.2533 62.5448 17.3814
9 31.591 70.7305 70.2655
10 14.7323 56.4256 72.0982
112 10
1 7.28186 26.8988 51.1505
2 20.6087 50.9755 47.5639
3 45.6249 52.2991 77.6874
4 73.9937 66.3556 40.0328
5 43.4907 15.6977 17.176
6 60.5021 28.111 33.0517
7 32.035 47.1577 92.168
8 37.5909 63.3363 17.3648
9 31.5171 71.2289 68.8767
10 15.0569 56.7959 72.0578
116 10
1 7.51258 27.2183 51.4804
2 20.3196 51.7306 48.3061
3 45.6077 52.4317 78.745
4 75.7615 65.7675 40.7579
5 44.419 15.112 17.2662
6 60.2769 27.9459 32.9841
7 32.5999 47.2831 91.6167
8 38.1793 63.2657 18.3076
9 30.7219 71.0695 69.1463
10 15.4307 57.0368 70.8794
120 10
1 6.77668 27.1158 51.0564
2 19.8433 52.1607 47.4684
3 45.3878 53.3426 78.8595
4 76.4262 67.0181 41.259
5 45.2715 15.4443 17.7066
6 60.0934 28.2894 31.9461
7 32.8235 46.6393 90.5936
8 38.4346 62.1611 18.6045
9 30.381 71.0388 69.5271
10 16.3434 57.8 70.0051
124 10
1 6.07216 27.1359 50.5016
2 20.7786 51.6383 47.7068
3 46.7546 53.637 79.5043
4 75.7261 66.9675 41.1392
5 45.1867 16.3467 18.5181
6 59.6629 28.0452 29.9321
7 33.6982 46.9596 89.8851
8 39.2697 61.7691 17.9923
9 30.4547 71.9289 69.3016
10 15.8569 58.0559 69.8487
128 10
1 5.71117 24.9394 50.5435
2 20.5071 51.5079 47.228
3 47.3077 53.823 79.4051
4 75.8951 67.0826 41.2179
5 44.9613 17.0528 18.6781
6 60.0878 28.604 29.8174
7 34.4226 47.4456 90.1578
8 39.2222 61.8365 17.0355
9 30.0835 72.1796 68.919
10 16.9239 58.2475 70.5332
132 10
1 5.35619 24.6403 49.9019
2 20.7357 51.9548 46.7118
3 48.1662 53.4202 79.6038
4 75.0852 66.4598 41.2979
5 44.8161 17.2068 19.4798
6 60.0422 27.9712 29.3768
7 35.4367 47.4083 88.594
8 40.1806 63.5914 17.1197
9 30.6376 73.0546 69.8703
10 16.9806 58.9617 71.43
136 10
1 5.33667 23.3085 49.0952
2 22.3566 51.1651 45.5392
3 47.8721 53.667 79.0426
4 75.7144 67.403 40.8235
5 45.4367 17.2446 19.4063
6 60.0718 27.4115 29.7731
7 34.6196 46.5931 89.4717
8 40.8183 64.8595 17.6969
9 30.9198 73.0554 70.2234
10 17.5322 59.3757 71.1112
140 10
1 4.99967 23.9129 49.5357
2 21.9563 51.2141 45.1955
3 48.1807 55.266 80.7793
4 75.9818 68.0725 40.8427
5 44.471 17.2802 18.8185
6 59.7889 26.5555 29.8586
7 35.7038 48.7524 89.7499
8 40.1397 64.7534 16.9936
9 30.9323 73.7696 71.1498
10 18.144 59.7132 71.2365
144 10
1 4.87809 23.5755 49.619
2 21.3354 51.9981 45.2536
3 48.3011 55.4782 79.7945
4 75.171 68.0971 41.3592
5 43.9528 16.7551 18.2042
6 59.5886 27.1024 29.1868
7 35.5598 48.9355 89.8055
8 39.2206 65.0975 16.0667
9 31.5997 72.9777 71.5726
10 17.5849 60.0576 71.9709
148 10
1 6.01298 23.8943 50.0674
2 21.2357 51.2221 46.0212
3 48.189 55.1324 79.8487
4 75.4459 68.9158 41.9748
5 43.0732 17.0179 17.3721
6 58.9604 27.2361 28.657
7 34.8445 49.4081 89.7925
8 39.0273 64.9586 17.1064
9 31.6293 72.7538 72.3773
10 17.4915 59.6532 72.6075
152 10
1 5.82093 25.3347 50.8446
2 21.6321 51.7058 44.964
3 48.0335 56.3262 80.0478
4 74.5969 69.4316 42.0964
5 43.3502 16.9899 16.6777
6 57.8127 26.9176 27.7041
7 35.2767 50.0937 89.7046
8 38.2695 64.399 18.036
9 30.6233 73.182 70.8347
10 18.2189 59.4357 73.5785
156 10
1 5.48508 24.7119 51.3322
2 22.0308 51.6531 44.6601
3 48.4392 55.3134 79.9973
4 73.6785 69.4691 42.2654
5 42.5014 15.5928 16.9496
6 57.1593 26.4963 28.2475
7 35.4914 51.3308 90.3719
8 37.8568 65.2754 17.9315
9 30.2635 73.5645 70.2715
10 19.0996 60.5383 73.4961
160 10
1 5.23706 24.2687 50.9936
2 22.2398 51.0369 44.8067
3 48.5137 55.1365 79.9982
4 73.5847 69.5762 42.2546
5 42.3506 16.9856 17.6199
6 57.9361 27.6215 28.1117
7 35.2081 50.8216 90.4674
8 37.8905 65.5137 19.2011
9 30.4724 73.2348 70.8237
10 19.6739 61.0258 73.1303
164 10
1 4.91925 25.3071 51.0713
2 22.4471 51.4715 45.1266
3 48.0731 56.2128 80.8018
4 73.6202 68.1779 43.2609
5 41.1523 17.5606 16.7662
6 57.4946 28.1244 26.8831
7 34.8906 51.0889 91.4352
8 37.9827 65.9468 20.2833
9 29.4527 72.3975 71.689
10 18.8371 62.6576 73.1702
168 10
1 4.30845 25.5489 50.6306
2 22.5482 52.5344 45.3682
3 47.3763 56.0262 81.2462
4 74.2844 67.817 44.8738
5 41.5949 18.8241 16.818
6 57.593 28.9783 26.1512
7 35.3892 50.0294 90.4525
8 38.4149 65.7772 20.5562
9 29.6542 72.7043 72.2395
10 18.452 61.5945 73.7041
172 10
1 4.82072 25.9298 50.0674
2 23.8244 52.4607 45.9773
3 47.949 55.7501 80.8252
4 75.0731 67.547 46.4728
5 41.226 19.2098 16.3457
6 56.8837 29.9319 26.1354
7 34.6153 49.6322 91.0859
8 39.5536 64.9231 21.2695
9 29.6165 73.052 73.3634
10 18.8076 61.7855 73.9131
176 10
1 6.25947 26.3313 49.0256
2 24.3018 52.6672 45.7726
3 48.3248 54.9294 82.1613
4 74.4624 68.0808 46.1776
5 42.5603 19.1801 16.9391
6 55.1241 29.8202 27.9061
7 34.1533 50.5418 91.5974
8 38.4627 63.8704 20.8689
9 30.3884 72.1311 73.0377
10 17.8259 60.7268 74.3895
180 10
1 5.14611 25.3207 49.4301
2 24.2554 52.6067 45.6146
3 47.8871 54.7312 81.2543
4 73.619 67.0893 45.4494
5 41.535 19.617 18.7409
6 56.7912 31.4091 28.3934
7 33.639 50.2203 91.2813
8 37.8368 64.3207 19.9619
9 30.5353 72.5365 72.7151
10 16.9798 59.4362 74.1739
184 10
1 5.50477 25.3643 49.5832
2 24.7467 53.4201 45.159
3 47.6412 54.4493 82.3319
4 72.7776 65.1063 45.7925
5 41.16 19.8527 18.5846
6 56.9944 31.6631 29.1131
7 34.2075 50.1933 90.0627
8 38.793 64.116 19.4144
9 29.1551 72.8751 72.8821
10 16.0786 60.9455 74.1362
188 10
1 5.34132 26.2954 48.7352
2 24.7669 53.0488 45.0261
3 47.9731 54.4632 82.8581
4 72.4112 66.3521 46.9058
5 39.5136 19.6039 19.6162
6 56.0986 31.4564 30.4444
7 33.9741 49.9712 90.9684
8 39.6227 64.5245 18.0926
9 28.6187 73.2846 72.5068
10 16.2442 61.2729 74.1082
192 10
1 5.68247 26.3835 48.925
2 24.7756 53.7836 45.3425
3 47.7758 53.2964 83.2332
4 72.1908 66.977 46.6249
5 38.7777 19.9134 20.067
6 56.2935 30.2984 32.2749
7 35.2629 50.1539 90.5889
8 39.7547 64.3794 17.5081
9 29.2402 74.0376 71.5964
10 16.1449 62.9881 73.1978
196 10
1 5.67455 27.5089 49.579
2 24.3062 52.5596 45.9455
3 47.1439 53.7142 83.664
4 71.3908 67.1423 45.9451
5 38.9607 20.5359 22.2198
6 55.3631 31.1689 32.4974
7 35.3753 48.9742 89.7422
8 39.714 62.989 16.773
9 29.9365 74.6956 69.987
10 16.5598 62.7385 73.6367
200 10
1 5.00452 28.1123 50.2311
2 24.6161 53.2998 44.5516
3 47.4299 53.6475 83.056
4 71.4107 66.7206 44.9676
5 38.7006 21.3958 22.4711
6 54.1391 30.5915 32.8214
7 35.4987 48.0636 89.6425
8 40.6254 63.1899 16.7733
9 30.2909 73.5282 69.9858
10 16.2382 62.4479 74.316
204 10
1 4.17103 28.1614 49.9826
2 24.9591 53.3433 44.107
3 48.1822 52.8493 83.1995
4 71.1811 67.5979 43.1112
5 38.3295 20.8116 22.2353
6 55.4291 30.1984 33.484
7 35.2947 48.2577 89.6208
8 39.9488 63.5946 16.6834
9 29.674 72.4374 69.8417
10 16.4083 63.3602 73.9654
208 10
1 3.55742 28.5885 49.0257
2 25.2954 53.1273 42.7272
3 48.9453 51.7625 83.2142
4 71.7461 68.0656 43.8444
5 38.3921 20.1457 22.5332
6 55.8232 31.1595 34.5643
7 34.7497 48.0018 89.9484
8 40.2133 64.2876 16.1967
9 29.8745 71.7991 69.1942
10 16.6646 63.7069 73.8926
212 10
1 3.7089 29.8426 47.711
2 25.6577 52.6124 42.3449
3 48.5879 49.5839 83.2922
4 71.5109 67.1936 44.717
5 37.6581 20.6039 23.0316
6 56.1038 29.6469 34.7249
7 34.4182 47.8377 90.529
8 41.4682 64.6262 15.9714
9 28.7998 71.8335 69.9395
10 16.2308 63.8742 74.5684
216 10
1 2.86899 29.7515 47.517
2 25.5759 52.3467 42.0515
3 48.6699 49.4503 82.5892
4 71.0069 65.5575 45.1151
5 37.3395 19.8959 24.0401
6 55.74 29.6282 34.6052
7 33.6833 48.388 89.9531
8 41.5384 65.1232 16.2573
9 28.637 72.685 70.3604
10 15.8059 65.1712 74.1151
220 10
1 2.90896 29.6428 47.4619
2 26.6421 52.5428 43.8824
3 49.348 49.6272 83.1967
4 71.0819 64.6852 45.0559
5 36.6964 19.2128 23.3016
6 55.5185 29.6415 34.6762
7 34.5918 48.9206 89.38
8 40.3471 64.5233 15.7401
9 27.8338 72.4985 70.5372
10 15.5061 64.3193 74.63
224 10
1 2.44872 29.4602 46.7701
2 27.4822 52.2811 44.1387
3 48.6637 49.8104 84.6991
4 71.2943 64.697 45.8569
5 37.1607 19.7945 24.2336
6 56.7333 28.924 34.424
7 33.4243 49.7323 90.5319
8 40.583 64.0562 15.913
9 28.6637 72.9804 69.7593
10 15.6968 64.4592 74.0985
228 10
1 2.87434 30.2523 47.8451
2 27.1505 51.9031 44.6078
3 49.0619 51.7743 85.5923
4 71.0676 64.5647 44.6294
5 37.371 19.3071 24.362
6 56.0939 27.889 32.9403
7 33.9144 49.3502 90.3327
8 41.6383 63.9933 16.3261
9 27.7868 70.9928 68.2348
10 14.9897 65.731 72.3195
232 10
1 3.3221 31.2144 47.5204
2 26.4155 50.9055 43.7393
3 49.0513 53.3539 87.1084
4 70.3333 65.9716 43.222
5 35.7703 19.7607 24.1405
6 55.3039 26.9109 32.5313
7 32.7387 48.3252 91.6346
8 43.0789 63.6446 16.4559
9 27.7711 71.5507 67.5111
10 14.6328 64.7476 70.8889
236 10
1 4.59704 30.4693 47.746
2 25.6587 50.7684 44.243
3 49.084 53.8833 87.1105
4 71.5987 65.3529 43.7317
5 35.9402 20.3477 24.1665
6 55.1261 27.3213 32.9847
7 33.3744 47.5187 90.9581
8 43.0243 63.6083 16.8204
9 27.5697 70.4637 66.6969
10 14.3561 64.3003 71.8135
240 10
1 4.02599 31.1154 47.421
2 25.362 50.9231 44.6342
3 49.1392 54.6621 86.3897
4 71.7298 65.4275 42.7798
5 36.4352 20.5236 24.0243
6 55.5285 27.3224 33.429
7 33.5723 48.0811 90.5007
8 42.0844 62.7371 16.761
9 28.215 71.5711 66.8725
10 15.5932 63.4778 73.4743
244 10
1 4.33732 31.5194 47.0942
2 24.9716 51.5803 45.5943
3 48.2434 54.5908 86.1546
4 71.6138 65.4871 43.0467
5 36.3382 20.7575 24.9283
6 56.0176 27.7742 33.7668
7 32.3856 48.1969 90.7453
8 41.7638 61.7862 16.6494
9 28.1632 72.0866 67.1235
10 15.2639 64.1034 73.7154
248 10
1 4.59527 31.9731 46.3338
2 24.7722 50.546 46.6425
3 47.7077 55.0787 86.9667
4 71.4575 66.4657 44.0663
5 35.8166 21.5325 25.6316
6 55.2487 26.5412 34.7438
7 32.0735 48.1791 89.7009
8 41.1872 61.1176 16.6417
9 29.1677 72.6329 66.3371
10 14.7833 64.2985 73.2445
252 10
1 4.58232 31.9215 45.2993
2 24.7257 50.8574 46.4485
3 47.815 56.2194 87.3824
4 70.8109 67.2521 44.1683
5 35.9473 22.3539 25.5659
6 55.5108 26.9162 35.2639
7 31.9312 49.6272 90.044
8 41.3819 60.6481 16.8087
9 29.189 73.1548 66.2121
10 13.481 63.5933 73.4756
256 10
1 4.8149 30.2518 44.1323
2 24.1889 50.1188 46.3038
3 46.9699 56.2558 85.9919
4 71.5918 68.5338 44.4913
5 36.8861 23.2844 25.0583
6 56.3096 27.0066 35.6735
7 32.0039 49.9963 89.8829
8 41.2963 61.039 16.299
9 29.9457 72.8611 65.9964
10 14.055 61.62 72.6904
260 10
1 5.55537 30.3007 43.1345
2 24.4755 49.7876 47.2103
3 46.9108 56.9238 86.4666
4 72.115 67.8741 43.6122
5 36.8911 23.2997 24.8793
6 56.0333 26.3765 36.2193
7 31.6912 49.9738 90.1586
8 41.18 61.1122 16.274
9 30.2113 72.0961 65.669
10 13.4928 61.237 72.3601
264 10
1 5.57511 29.6297 41.7785
2 24.5661 49.4174 47.181
3 46.9124 57.6482 85.4671
4 71.8871 68.4056 43.7242
5 37.2698 22.7554 25.7737
6 56.6858 26.3077 36.2681
7 32.1375 50.63 90.1755
8 40.8407 60.2395 16.5705
9 31.0371 72.1225 65.1521
10 12.9491 61.7429 72.1615
268 10
1 6.23369 28.7369 42.6261
2 25.3552 48.7564 47.1505
3 46.6073 57.6598 85.6953
4 72.5936 69.2379 43.691
5 37.923 22.7629 26.1517
6 56.7662 25.8534 36.9555
7 31.5723 50.3466 89.5726
8 40.1717 59.747 16.5485
9 30.984 71.3388 64.9604
10 13.088 61.8781 71.4329
272 10
1 7.12158 27.795 42.9168
2 25.1232 49.2158 46.7572
3 45.2874 57.5582 84.3269
4 73.0587 70.6117 44.6504
5 39.2008 21.6918 26.664
6 56.596 26.5289 36.4497
7 31.1678 49.8526 90.5953
8 39.5174 59.8915 16.3144
9 30.9176 72.6814 65.0564
10 13.9263 60.8503 70.8722
276 10
1 8.08448 26.2888 43.4644
2 25.478 48.9923 46.4271
3 45.9751 57.8085 84.9471
4 74.0702 71.9042 44.8624
5 39.72 22.7449 26.5388
6 56.6966 26.838 36.0674
7 30.6656 48.8867 89.8173
8 38.5329 59.078 15.1906
9 30.346 71.73 64.7989
10 14.7049 60.1779 70.9789
280 10
1 8.99803 26.4988 43.2559
2 25.9925 48.5897 45.7528
3 45.6143 58.0424 84.6115
4 74.2295 72.7751 44.2592
5 41.0097 22.5619 26.9513
6 56.5407 26.3499 35.3448
7 29.7209 48.1495 88.7109
8 37.7457 58.39 13.9588
9 30.7147 72.8883 65.374
10 15.3877 60.3929 69.5563
284 10
1 9.63895 26.2222 43.7412
2 25.7906 49.2089 46.2332
3 45.8064 57.4163 85.7587
4 75.1315 73.1783 43.9217
5 41.4394 22.8448 26.7404
6 56.1371 25.6382 34.6363
7 29.2708 47.0182 88.355
8 36.834 58.7722 14.5041
9 30.2964 72.0067 65.3411
10 15.5382 60.468 70.078
288 10
1 9.82114 26.5394 42.8037
2 25.6117 50.5766 46.2546
3 46.4957 57.3959 85.1832
4 76.6743 73.6627 44.222
5 40.6303 22.5064 27.0028
6 56.2578 25.4024 34.1505
7 29.6465 46.6214 87.4899
8 36.8114 57.9862 13.3234
9 31.6003 71.7011 64.2229
10 15.4253 61.3053 71.6872
292 10
1 10.5363 26.4795 43.1672
2 25.8892 50.2529 45.9738
3 46.1085 57.6358 85.6216
4 77.535 74.6556 45.7897
5 39.8918 23.271 27.1418
6 55.7569 24.8749 34.3637
7 29.2491 47.4261 86.2786
8 36.9317 57.7939 13.2214
9 31.2837 72.0462 64.5349
10 15.2245 61.6623 72.2554
296 10
1 10.1488 25.3916 43.3604
2 26.3085 50.6054 46.4607
3 45.9293 58.8552 84.9951
4 77.2843 74.8771 46.4753
5 40.5521 23.4326 27.0681
6 56.0561 24.8636 34.7115
7 29.9391 47.3962 84.9764
8 36.7791 57.1956 12.2705
9 30.3476 71.8419 63.8604
10 14.8352 61.4571 72.8656
300 10
1 10.5809 26.3407 43.0629
2 26.1799 50.7991 47.0048
3 45.9045 59.9539 84.2881
4 77.8137 75.1998 47.193
5 39.9064 23.139 26.1365
6 55.4035 23.7095 34.0342
7 30.4177 46.9559 85.0844
8 36.7503 57.7807 12.3018
9 30.2748 71.3056 64.1015
10 13.9601 61.3912 72.7922
304 10
1 10.9023 27.15 42.3238
2 26.1976 51.1791 46.8064
3 46.45 59.8953 82.8625
4 78.1595 75.2028 47.0181
5 39.1779 23.4622 26.1937
6 56.0375 23.6958 32.7736
7 30.7601 47.1443 85.8296
8 37.265 58.4458 12.0254
9 29.5791 72.2207 64.3949
10 14.6683 61.2815 73.8335
308 10
1 10.7508 27.2181 42.6473
2 26.639 50.1052 46.4579
3 47.3725 60.2494 81.9253
4 77.7767 75.2804 47.3019
5 38.9017 23.4271 25.2807
6 55.8229 23.7403 32.7786
7 30.9939 48.6378 86.1322
8 37.8664 58.7708 11.3512
9 29.259 71.4926 65.493
10 13.9604 60.8047 73.358
312 10
1 10.9591 27.0098 44.4177
2 27.0786 50.17 47.5625
3 48.4054 58.9821 82.2831
4 77.2764 75.4792 48.5352
5 37.9562 23.0641 25.4191
6 55.027 24.5557 30.9984
7 31.0245 48.6933 86.1426
8 36.8079 57.9708 11.3037
9 29.7664 71.8352 65.565
10 13.9107 61.0214 73.3043
316 10
1 10.1647 26.3417 45.0389
2 27.8953 49.8128 47.2799
3 48.0502 58.5966 82.3143
4 77.061 76.4594 49.2501
5 36.2163 23.1524 25.9319
6 54.7102 24.0872 30.1973
7 31.124 48.7718 86.5545
8 36.5517 58.1524 10.8553
9 29.9249 73.1094 66.1943
10 13.3301 60.9351 72.9469
320 10
1 9.25259 26.65 44.8693
2 27.7649 49.2378 47.6548
3 48.1037 58.2808 81.2417
4 77.9127 76.3212 49.0983
5 36.236 23.5569 26.4155
6 54.7143 23.3899 29.8232
7 32.5322 49.1327 86.6771
8 37.8378 58.9868 11.9859
9 29.4556 74.2783 67.5087
10 13.5946 62.1164 71.5328
324 10
1 8.74184 27.8158 44.3686
